,PROVINCIAS,MUNICIPIO,TIPOCENTRO,NOMBRE,DIRECCION,CP
22,ALMERÍA,Alhabia,CONSULTORIO LOCAL,ALHABIA,"AVDA. FEDERICO ROMERA, Nº 2",4567
23,ALMERÍA,Alhama de Almería,CENTRO SALUD,ALHAMA DE ALMERÍA,"C/ NORIA, S/N",4400
24,ALMERÍA,Alicún,CONSULTORIO LOCAL,ALICÚN (CONSULTORIO AUXILIAR),"PLAZA LUIS ALMECIJA, S/N",4409
25,ALMERÍA,Almócita,CONSULTORIO LOCAL,ALMÓCITA (CONSULTORIO AUXILIAR),"CL SAN BLAS, S/N",4458
26,ALMERÍA,Alsodux,CONSULTORIO LOCAL,ALSODUX (CONSULTORIO AUXILIAR),"CL CLARIN, S/N",4568
27,ALMERÍA,Beires,CONSULTORIO LOCAL,BEIRES (CONSULTORIO AUXILIAR),"PLAZA CONSTITUCIÓN, S/N",4458
28,ALMERÍA,Bentarique,CONSULTORIO LOCAL,BENTARIQUE (CONSULTORIO AUXILIAR),"CL PASEO DE LA IGLESIA, S/N",4569
29,ALMERÍA,Canjáyar,CONSULTORIO LOCAL,CANJÁYAR,"CL GENERAL GONZÁLEZ, ESQ. CL EMILIO ESTEBAN HANZA",4450
30,ALMERÍA,Huécija,CONSULTORIO LOCAL,HUÉCIJA (CONSULTORIO AUXILIAR),"CL BUENAVISTA, Nº 13",4409
31,ALMERÍA,Illar,CONSULTORIO LOCAL,ILLAR,"C/ ANTONIO ANDRÉS, S/N",4431
32,ALMERÍA,Instinción,CONSULTORIO LOCAL,INSTINCIÓN,"PLAZA FEDERICO SALVADOR, S/N",4430
33,ALMERÍA,Ohanes,CONSULTORIO LOCAL,OHANES,"C/ MENGEMOR, S/N",4459
34,ALMERÍA,Padules,CONSULTORIO LOCAL,PADULES,"AVDA. ALPUJARRA, S/N",4458
35,ALMERÍA,Rágol,CONSULTORIO LOCAL,RÁGOL (CONSULTORIO AUXILIAR),"C/ CARRERA DEL CARMEN, S/N",4440
36,ALMERÍA,Santa Cruz de Marchena,CONSULTORIO LOCAL,SANTA CRUZ (CONSULTORIO AUXILIAR),"CL CASTAÑOS, S/N",4568
37,ALMERÍA,Terque,CONSULTORIO LOCAL,TERQUE,"C/ REAL, S/N",4569
38,ALMERÍA,Benahadux,CENTRO SALUD,BENAHADUX,"C/ SEVILLA, S/N",4410
39,ALMERÍA,Carboneras,CONSULTORIO LOCAL,EL SALTADOR (CONSULTORIO AUXILIAR),"BARIADA EL SALTADOR ALTO, S/N",4149
40,ALMERÍA,Carboneras,CENTRO SALUD,"CARBONERAS "" EL LOMETICO""",AV 28 DE FEBRERO,4140
41,ALMERÍA,Carboneras,CONSULTORIO LOCAL,ARGAMASÓN (CONSULTORIO AUXILIAR),"CL ARGAMASÓN, S/N",4149
42,ALMERÍA,Carboneras,CONSULTORIO LOCAL,CUEVA DEL PÁJARO (CONSULTORIO AUXILIAR),"CL CUEVA DEL PÁJARO, S/N",4149
43,ALMERÍA,Carboneras,CONSULTORIO LOCAL,LOS LLANOS DE DON ANTONIO (CONSULTORIO AUXILIAR),"C/ LOS LLANOS DE DON ANTONIO, S/N",4149
44,ALMERÍA,Gádor,CONSULTORIO LOCAL,GÁDOR,"C/ LA PAZ, Nº 3",4560
45,ALMERÍA,Huércal de Almería,CONSULTORIO LOCAL,LA FUENSANTA (CONSULTORIO AUXILIAR),"BARRIADA LA FUENSANTA, S/N",4230
46,ALMERÍA,Huércal de Almería,CONSULTORIO LOCAL,HUÉRCAL DE ALMERÍA,"C/ II REPUBLICA, Nº1",4230
47,ALMERÍA,Huércal de Almería,CONSULTORIO LOCAL,EL POTRO (CONSULTORIO AUXILIAR),"BARRIADA EL POTRO, S/N",4230
48,ALMERÍA,Pechina,CONSULTORIO LOCAL,PECHINA,"C/ LIMÓN, Nº 1",4250
49,ALMERÍA,Rioja,CONSULTORIO LOCAL,RIOJA,"C/ CONSTITUCIÓN, S/N",4260
50,ALMERÍA,Santa Fe de Mondújar,CONSULTORIO LOCAL,SANTA FE DE MONDÚJAR (CONSULTORIO AUXILIAR),"C/ LA TORRE, Nº 1",4420
51,ALMERÍA,Viator,CONSULTORIO LOCAL,VIATOR,"C/ GREGORIO TORRES, S/N",4240
52,ALMERÍA,Níjar,CENTRO SALUD,NÍJAR,"C/ FEDERICO GARCÍA LORCA, S/N",4100
53,ALMERÍA,Níjar,CONSULTORIO LOCAL,PUJAIRE (CONSULTORIO AUXILIAR),BARRIADA PUJAIRE,4151
54,ALMERÍA,Níjar,CONSULTORIO LOCAL,BARRANQUETE(CONSULTORIO AUXILIAR),"CL BARRANQUETE, S/N",4117
55,ALMERÍA,Níjar,CONSULTORIO LOCAL,ATOCHARES (CONSULTORIO AUXILIAR),"CL ATOCHARES, S/N",4113
56,ALMERÍA,Níjar,CONSULTORIO LOCAL,ALBARICOQUES (CONSULTORIO AUXILIAR),"C/ ALBARICOQUES, S/N",4116
57,ALMERÍA,Níjar,CONSULTORIO LOCAL,SAN ISIDRO,"C/ COLINAS, S/N",4117
58,ALMERÍA,Níjar,CONSULTORIO LOCAL,LAS NEGRAS (CONSULTORIO AUXILIAR),"CL LAS NEGRAS, S/N",4116
59,ALMERÍA,Níjar,CONSULTORIO LOCAL,AGUA AMARGA (CONSULTORIO AUXILIAR),"CL AGUA AMARGA, S/N",4149
60,ALMERÍA,Níjar,CONSULTORIO LOCAL,VENTA DEL POBRE (CONSULTORIO AUXILIAR),"CL VENTA DEL POBRE, S/N",4114
61,ALMERÍA,Níjar,CONSULTORIO LOCAL,LOS NIETOS (CONSULTORIO AUXILIAR),"CAMINO DEL AZABACHE, S/N",4117
62,ALMERÍA,Níjar,CONSULTORIO LOCAL,PUEBLO BLANCO (CONSULTORIO AUXILIAR),"AVDA. COLONIZACIÓN, S/N",4117
63,ALMERÍA,Níjar,CONSULTORIO LOCAL,CAMPOHERMOSO,"C/ LOS GALLARDOS, S/N",4110
64,ALMERÍA,Níjar,CONSULTORIO LOCAL,RODALQUILAR (CONSULTORIO AUXILIAR),"C/ RODALQUILAR, S/N",4115
65,ALMERÍA,Níjar,CONSULTORIO LOCAL,RUESCAS (CONSULTORIO AUXILIAR),BARRIADA RUESCAS,4151
66,ALMERÍA,Níjar,CONSULTORIO LOCAL,SAN JOSÉ (CONSULTORIO AUXILIAR),"C/ SAN JOSÉ, S/N",4118
67,ALMERÍA,Níjar,CONSULTORIO LOCAL,LA ISLETA DEL MORO (CONSULTORIO AUXILIAR),"CL LA ISLETA DEL MORO, S/N",4118
68,ALMERÍA,Níjar,CONSULTORIO LOCAL,HORTICHUELAS (CONSULTORIO AUXILIAR),"CL HORTICHUELAS, S/N",4116
69,ALMERÍA,Níjar,CONSULTORIO LOCAL,POZO DE LOS FRAILES (CONSULTORIO AUXILIAR),"C/ POZO DE LOS FRAILES, S/N",4117
70,ALMERÍA,Níjar,CONSULTORIO LOCAL,EL VISO (CONSULTORIO AUXILIAR),"CL EL VISO, S/N",4113
71,ALMERÍA,Níjar,CONSULTORIO LOCAL,FERNÁN PÉREZ (CONSULTORIO AUXILIAR),"CL FERNÁN PÉREZ, S/N",4116
72,ALMERÍA,Abla,CENTRO SALUD,ABLA,"CL SANTOS MÁRTIRES, Nº 22",4510
73,ALMERÍA,Abrucena,CONSULTORIO LOCAL,ABRUCENA,"C/ BALSILLAS, S/N",4520
74,ALMERÍA,Fiñana,CONSULTORIO LOCAL,FIÑANA,"AVDA. JUAN APARICIO, Nº8",4500
75,ALMERÍA,Gérgal,CONSULTORIO LOCAL,ALCUBILLAS (CONSULTORIO AUXILIAR),"AV LAS ALCUBILLAS, S/N",4558
76,ALMERÍA,Gérgal,CONSULTORIO LOCAL,AULAGO (CONSULTORIO AUXILIAR),"LG AULAGO, S/N",4549
77,ALMERÍA,Gérgal,CONSULTORIO LOCAL,GÉRGAL,"C/ SEBASTIÁN PÉREZ, Nº 3",4550
78,ALMERÍA,Nacimiento,CONSULTORIO LOCAL,NACIMIENTO,"C/ MEZQUITA, Nº 11",4540
79,ALMERÍA,Olula de Castro,CONSULTORIO LOCAL,OLULA DE CASTRO (CONSULTORIO AUXILIAR),"C/ TALLÓN, Nº 25",4212
80,ALMERÍA,"Tres Villas, Las",CONSULTORIO LOCAL,DOÑA MARÍA (CONSULTORIO AUXILIAR) ,"CL LA IGLESIA, S/N",4530
81,ALMERÍA,"Tres Villas, Las",CONSULTORIO LOCAL,ESCÚLLAR (CONSULTORIO AUXILIAR),"CL REAL DE ESCULLAR, S/N",4532
82,ALMERÍA,"Tres Villas, Las",CONSULTORIO LOCAL,OCAÑA (CONSULTORIO AUXILIAR),"PLAZA JUVENTUD, S/N",4530
83,ALMERÍA,Benizalón,CONSULTORIO LOCAL,FUENTE DE LA HIGUERA (CONSULTORIO AUXILIAR),"CL LA FUENTE, S/N",4276
84,ALMERÍA,Benizalón,CONSULTORIO LOCAL,BENIZALÓN (CONSULTORIO AUXILIAR),"CL CARRETERA, S/N",4276
85,ALMERÍA,Lubrín,CONSULTORIO LOCAL,EL SAETÍ (CONSULTORIO AUXILIAR),BARRIADA EL SAETÍ,4271
86,ALMERÍA,Lubrín,CONSULTORIO LOCAL,RAMBLA ALJIBE (CONSULTORIO AUXILIAR),"CL RAMBLA ALJIBE, S/N",4271
87,ALMERÍA,Lubrín,CONSULTORIO LOCAL,RAMBLA HONDA (CONSULTORIO AUXILIAR),"CL RAMBLA HONDA, S/N",4271
88,ALMERÍA,Lubrín,CONSULTORIO LOCAL,EL CHIVE (CONSULTORIO AUXILIAR),"CL CHIVE, S/N",4271
89,ALMERÍA,Lubrín,CONSULTORIO LOCAL,EL POCICO (CONSULTORIO AUXILIAR),"C/ EL POCICO, S/N",4271
90,ALMERÍA,Lubrín,CONSULTORIO LOCAL,EL MARCHAL (CONSULTORIO AUXILIAR),"CL EL MARCHAL, S/N",4271
91,ALMERÍA,Lubrín,CONSULTORIO LOCAL,EL PILAR (CONSULTORIO AUXILIAR),"PARAJE EL PILAR, S/N",4271
92,ALMERÍA,Lubrín,CONSULTORIO LOCAL,LUBRÍN,"CL ALMERÍA, Nº 33",4271
93,ALMERÍA,Lucainena de las Torres,CONSULTORIO LOCAL,POLOPOS (CONSULTORIO AUXILIAR),"CL POLOPOS, S/N",4114
94,ALMERÍA,Lucainena de las Torres,CONSULTORIO LOCAL,LUCAINENA DE LAS TORRES,"C/ ALMERÍA, S/N",4210
95,ALMERÍA,Sorbas,CENTRO SALUD,SORBAS,"URB. SAN JAVIER, S/N",4270
96,ALMERÍA,Sorbas,CONSULTORIO LOCAL,CARIATIZ - LOS ALIAS - (CONSULTORIO AUXILIAR),"CL LOS ALIAS, S/N",4278
97,ALMERÍA,Sorbas,CONSULTORIO LOCAL,GAFARILLOS (CONSULTORIO AUXILIAR),"C/ GAFARILLOS, S/N",4277
98,ALMERÍA,Sorbas,CONSULTORIO LOCAL,LA HUELGA (CONSULTORIO AUXILIAR),"BARRIADA LA HUELGA, S/N",4289
99,ALMERÍA,Sorbas,CONSULTORIO LOCAL,LA MELA (CONSULTORIO AUXILIAR),"BARRIADA LA MELA, S/N",4271
100,ALMERÍA,Uleila del Campo,CONSULTORIO LOCAL,ULEILA DEL CAMPO,"C/ FRONTÓN, S/N",4279
101,ALMERÍA,Alcudia de Monteagud,CONSULTORIO LOCAL,ALCUDIA DE MONTEAGUD (CONSULTORIO AUXILIAR),"CL ERA, S/N",4276
102,ALMERÍA,Benitagla,CONSULTORIO LOCAL,BENITAGLA (CONSULTORIO AUXILIAR),"CL PLAZA, S/N",4276
103,ALMERÍA,Castro de Filabres,CONSULTORIO LOCAL,CASTRO FILABRES (CONSULTORIO AUXILIAR),"CL PILAR, S/N",4212
104,ALMERÍA,Senés,CONSULTORIO LOCAL,SENÉS (CONSULTORIO AUXILIAR),"CL ESTACIÓN, S/N",4213
105,ALMERÍA,Tabernas,CENTRO SALUD,TABERNAS,"C/ REYES CATÓLICOS, S/N",4200
106,ALMERÍA,Tahal,CONSULTORIO LOCAL,BENITORAFE (CONSULTORIO AUXILIAR),"BARRIADA BENITORAFE, S/N",4275
107,ALMERÍA,Tahal,CONSULTORIO LOCAL,TAHAL,"C/ LA FUENTE, S/N",4275
108,ALMERÍA,Turrillas,CONSULTORIO LOCAL,TURRILLAS (CONSULTORIO AUXILIAR),"CL MIRADORES, S/N",4211
109,ALMERÍA,Velefique,CONSULTORIO LOCAL,VELEFIQUE,"CL ALMERÍA, S/N",4212
110,ALMERÍA,Albánchez,CONSULTORIO LOCAL,ALBÁNCHEZ,"C/ MIRAS, S/N",4857
111,ALMERÍA,Albox,CONSULTORIO LOCAL,LLANO DE LOS OLLERES (CONSULTORIO AUXILIAR),"CL ALZABARAS, S/N",4813
112,ALMERÍA,Albox,CONSULTORIO LOCAL,LLANO DEL ESPINO (CONSULTORIO AUXILIAR),"PLAZA DE SAN JUAN DE LA CRUZ, S/N",4813
113,ALMERÍA,Albox,CONSULTORIO LOCAL,LAS POCICAS (CONSULTORIO AUXILIAR),"LG LAS POCICAS, S/ N",4813
114,ALMERÍA,Albox,CENTRO SALUD,ALBOX,"C/ TABERNO, Nº 2",4800
115,ALMERÍA,Arboleas,CENTRO SALUD,ARBOLEAS,"AV RULADOR, Nº 2",4660
116,ALMERÍA,Cantoria,CONSULTORIO LOCAL,ALMANZORA (CONSULTORIO AUXILIAR),"CL CUESTA, S/N",4815
117,ALMERÍA,Cantoria,CONSULTORIO LOCAL,CANTORIA,"AVDA. EDUARDO CORTES, S/N",4850
118,ALMERÍA,Cóbdar,CONSULTORIO LOCAL,CÓBDAR,"CASA DEL MEDICO, S/N",4859
119,ALMERÍA,Oria,CONSULTORIO LOCAL,ORIA,"C/ NUEVA, Nº 1",4810
120,ALMERÍA,Oria,CONSULTORIO LOCAL,RAMBLA DE ORIA (CONSULTORIO AUXILIAR),"LG ERMITA, S/N",4811
121,ALMERÍA,Partaloa,CONSULTORIO LOCAL,PARTALOA,AVDA. COSNTITUCION Nº 2,4810
122,ALMERÍA,Cuevas del Almanzora,CONSULTORIO LOCAL,GUAZAMARA,"CL EL LLANO, S/N",4619
123,ALMERÍA,Cuevas del Almanzora,CENTRO SALUD,CUEVAS DEL ALMANZORA,"AVDA. DE BARCELONA, Nº 111",4610
124,ALMERÍA,Cuevas del Almanzora,CONSULTORIO LOCAL,PALOMARES,TRANSVERSA DIEGO BONILLO Nº 14,4617
125,ALMERÍA,Cuevas del Almanzora,CONSULTORIO LOCAL,LOS LOBOS (CONSULTORIO AUXILIAR),"CASAS NUEVAS (LOS LOBOS), S/N",4619
126,ALMERÍA,Cuevas del Almanzora,CONSULTORIO LOCAL,VILLARICOS,PASEO MARITIMO S/N,4616
127,ALMERÍA,Cuevas del Almanzora,CONSULTORIO LOCAL,EL LARGO (CONSULTORIO AUXILIAR),"CL CAMINO DE LAS ZANJICAS, S/N",4619
128,ALMERÍA,Zurgena,CONSULTORIO LOCAL,ZURGENA,"C/JUAN ANDRES TOLEDO, S/N",4650
129,ALMERÍA,Huércal-Overa,CENTRO SALUD,HUÉRCAL - OVERA,"AVDA. GUILLERMO REINA, Nº 1",4600
130,ALMERÍA,Huércal-Overa,CONSULTORIO LOCAL,SANTA MARÍA DE NIEVA,C/ SANTA MARIA DE NIEVA S/N,4693
131,ALMERÍA,Huércal-Overa,CONSULTORIO LOCAL,SAN FRANCISCO,"PLAZA SAN FRANCISCO, S/N",4600
132,ALMERÍA,Huércal-Overa,CONSULTORIO LOCAL,OVERA,"PARAJE LOS MENAS, S/N",4693
133,ALMERÍA,Huércal-Overa,CONSULTORIO LOCAL,ÚRCAL (CONSULTORIO AUXILIAR),"LG PRINCIPAL, S/N",4691
134,ALMERÍA,Pulpí,CONSULTORIO LOCAL,PULPÍ,"AV VIRGEN DEL MAR, S/N",4640
135,ALMERÍA,Pulpí,CONSULTORIO LOCAL,LA FUENTE,"CL VICENTE ALEIXANDRE, S/N",4647
136,ALMERÍA,Pulpí,CONSULTORIO LOCAL,POZO DE LA HIGUERA (CONSULTORIO AUXILIAR),"LG POZO DE LA HIGUERA, S/N",4647
137,ALMERÍA,Pulpí,CONSULTORIO LOCAL,EL PILAR DE JARAVIA (CONSULTORIO AUXILIAR),"CL CENTRO, S/N",4648
138,ALMERÍA,Pulpí,CONSULTORIO LOCAL,EL CONVOY (CONSULTORIO AUXILIAR),"PLAZA VIRGEN DE FATIMA, Nº 1",4647
139,ALMERÍA,Pulpí,CONSULTORIO LOCAL,TERREROS,"AV DEL MEDITERRÁNEO, S/N",4647
140,ALMERÍA,Taberno,CONSULTORIO LOCAL,TABERNO,"C/ AMAPOLA, Nº 8",4692
141,ALMERÍA,Zurgena,CONSULTORIO LOCAL,LA ALFOQUIA,"C/ GUILLERMO SIMONELLI, S/N",4661
142,ALMERÍA,María,CONSULTORIO LOCAL,LA CAÑADA DE CAÑEPLA (CONSULTORIO AUXILIAR),CAMINO DE LOS CANALES DEL MEDIO S/N,4839
143,ALMERÍA,Chirivel,CONSULTORIO LOCAL,CHIRIVEL,C/ REAL Nº1,4825
144,ALMERÍA,Chirivel,CONSULTORIO LOCAL,EL CONTADOR (CONSULTORIO AUXILIAR),CL BALLESTEROS Nº 2,4825
145,ALMERÍA,María,CONSULTORIO LOCAL,MARÍA,"C/ ATERA, S/N",4838
146,ALMERÍA,Vélez-Blanco,CONSULTORIO LOCAL,TOPARES,"C/ SAN ANTONIO, S/N",4839
147,ALMERÍA,Vélez-Blanco,CONSULTORIO LOCAL,VÉLEZ BLANCO,"C/ ARCO, Nº 4",4830
148,ALMERÍA,Vélez-Rubio,CENTRO SALUD,VÉLEZ RUBIO,"C/ EL MESON, Nº2",4820
149,ALMERÍA,Chercos,CONSULTORIO LOCAL,CHERCOS (CONSULTORIO AUXILIAR),"CL LOS MOLINAS, S/N",4859
150,ALMERÍA,Fines,CONSULTORIO LOCAL,FINES,C/ CARRERON,4869
151,ALMERÍA,Líjar,CONSULTORIO LOCAL,LÍJAR,C/ PARRAL S/N,4859
152,ALMERÍA,Macael,CONSULTORIO LOCAL,MACAEL,"AV ANDALUCÍA, Nº 6",4867
153,ALMERÍA,Olula del Río,CENTRO SALUD,OLULA DEL RÍO,"CTRA. ALTA, Nº 37",4860
154,ALMERÍA,Purchena,CONSULTORIO LOCAL,PURCHENA,"CL URRACAL, S/N",4870
155,ALMERÍA,Sierro,CONSULTORIO LOCAL,SIERRO,"C/ SAN SEBASTIAN, S/N",4878
156,ALMERÍA,Somontín,CONSULTORIO LOCAL,SOMONTÍN,"C/ REY JUAN CARLOS, Nº 8",4877
157,ALMERÍA,Suflí,CONSULTORIO LOCAL,SUFLÍ (CONSULTORIO AUXILIAR),"AV PURCHENA, S/N",4878
158,ALMERÍA,Urrácal,CONSULTORIO LOCAL,URRÁCAL (CONSULTORIO AUXILIAR),"CL ESCUELAS, Nº 10",4879
159,ALMERÍA,Tíjola,CONSULTORIO LOCAL,EL HIGUERAL (CONSULTORIO AUXILIAR),"LG EL HIGUERAL, S/N",4887
160,ALMERÍA,Alcóntar,CONSULTORIO LOCAL,ALCÓNTAR (CONSULTORIO AUXILIAR),"C/ PUENTE, Nº 1",4897
161,ALMERÍA,Alcóntar,CONSULTORIO LOCAL,EL HIJATE (CONSULTORIO AUXILIAR),"CL ADOLFO SUAREZ, S/N",4898
162,ALMERÍA,Armuña de Almanzora,CONSULTORIO LOCAL,ARMUÑA DE ALMANZORA,C/ ERAS Nº 18,4888
163,ALMERÍA,Bacares,CONSULTORIO LOCAL,BACARES,"C/ QUEIPO DE LLANO, Nº 9",4889
164,ALMERÍA,Bayarque,CONSULTORIO LOCAL,BAYARQUE (CONSULTORIO AUXILIAR),"CL HORNO, S/N",4888
165,ALMERÍA,Lúcar,CONSULTORIO LOCAL,CELA (CONSULTORIO AUXILIAR),"BARRIADA DE CELA, S/N",4887
166,ALMERÍA,Lúcar,CONSULTORIO LOCAL,LÚCAR,"PLAZA PEÑONES DEL FUERTE, S/N",4887
167,ALMERÍA,Serón,CENTRO SALUD,SERÓN,"AVDA. LEPANTO, S/N",4890
168,ALMERÍA,Tíjola,CONSULTORIO LOCAL,TÍJOLA,C/ ESPARRAGUERA Nº 4,4880
169,ALMERÍA,Antas,CONSULTORIO LOCAL,ANTAS,"AV DE LA ERMITA, S/N",4628
170,ALMERÍA,Antas,CONSULTORIO LOCAL,ALJARIZ (CONSULTORIO AUXILIAR),"CAMINO LAS ESCUELAS, S/N",4629
171,ALMERÍA,Bédar,CONSULTORIO LOCAL,BÉDAR,"PLAZA DE LA CONSTITUCIÓN, Nº 1",4288
172,ALMERÍA,"Gallardos, Los",CONSULTORIO LOCAL,ALFAIX (CONSULTORIO AUXILIAR),BARRIADA ALFAIX,4280
173,ALMERÍA,"Gallardos, Los",CONSULTORIO LOCAL,LOS GALLARDOS,C/MOLINO Nº 11,4280
174,ALMERÍA,Garrucha,CONSULTORIO LOCAL,GARRUCHA,"C/ MAYOR, S/N",4630
175,ALMERÍA,Mojácar,CONSULTORIO LOCAL,MOJÁCAR PUEBLO,"AVDA. PARIS, S/N",4638
176,ALMERÍA,Mojácar,CONSULTORIO LOCAL,MOJÁCAR PLAYA,"C/ ARENAL, S/N",4638
177,ALMERÍA,Turre,CONSULTORIO LOCAL,TURRE,AVDA. DE LA COSNTITUCION S/N,4639
178,ALMERÍA,Vera,CONSULTORIO LOCAL,PUERTO REY (CONSULTORIO AUXILIAR) (VERANO),"BAJOS HOTEL REINA, S/N",4630
179,ALMERÍA,Vera,CENTRO SALUD,VERA,"C/ SAN CLEOFAS, S/N",4620
180,ALMERÍA,Adra,CENTRO SALUD,ADRA,"AVDA. PICASO, Nº 1",4770
181,ALMERÍA,Adra,CONSULTORIO LOCAL,PUENTE DEL RÍO,CTRA. MALAGA S/N,4779
182,ALMERÍA,Adra,CONSULTORIO LOCAL,LA CURVA,"C/ LIBRA, S/N",4770
183,ALMERÍA,Alcolea,CONSULTORIO LOCAL,ALCOLEA,"CRA, Nº 20",4480
184,ALMERÍA,Alcolea,CONSULTORIO LOCAL,DARRÍCAL (CONSULTORIO AUXILIAR),"CL FUENTE, Nº 7",4768
185,ALMERÍA,Bayárcal,CONSULTORIO LOCAL,BAYÁRCAL (CONSULTORIO AUXILIAR),"CL GRANADA, S/N",4479
186,ALMERÍA,Berja,CONSULTORIO LOCAL,HIRMES (CONSULTORIO AUXILIAR),"CL HIRMES, S/N",4769
187,ALMERÍA,Berja,CONSULTORIO LOCAL,BALANEGRA,"CTRA. DE MALAGA, S/N",4713
188,ALMERÍA,Berja,CENTRO SALUD,BERJA,"CR DE ADRA, Nº 3",4760
189,ALMERÍA,Dalías,CONSULTORIO LOCAL,DALÍAS,"PLAZA DEL AYUNTAMIENTO, S/N",4750
190,ALMERÍA,Fondón,CONSULTORIO LOCAL,FONDÓN,"CL CRISTÓBAL GUERRERO, S/N",4460
191,ALMERÍA,Fondón,CONSULTORIO LOCAL,BENECID (CONSULTORIO AUXILIAR),"CL BENECID, S/N",4479
192,ALMERÍA,Fondón,CONSULTORIO LOCAL,FUENTE VICTORIA (CONSULTORIO AUXILIAR),"CL IGLESIA, Nº 7",4479
193,ALMERÍA,Láujar de Andarax,CONSULTORIO LOCAL,LÁUJAR DE ANDARAX,"CTRA. PATERNA, S/N",4470
194,ALMERÍA,Paterna del Río,CONSULTORIO LOCAL,PATERNA DEL RÍO,"PLAZA MAYOR, S/N",4479
195,ALMERÍA,"Ejido, El",CENTRO SALUD,EJIDO NORTE,"CL SAN DIEGO, Nº 15",4700
196,ALMERÍA,"Ejido, El",CENTRO SALUD,SANTA MARÍA DEL ÁGUILA,"C/ TORRE DEL ORO, S/N",4710
197,ALMERÍA,"Ejido, El",CENTRO SALUD,EJIDO SUR,"CL SAN MARTÍN, S/N",4700
198,ALMERÍA,"Ejido, El",CENTRO SALUD,LAS NORIAS,"CTRA. MOJONERA, S/N",4716
199,ALMERÍA,"Ejido, El",CONSULTORIO LOCAL,ANEXO EJIDO NORTE (CONSULTORIO AUXILIAR),"C/ DEL CONDE DE BARCELONA, Nº 23",4700
200,ALMERÍA,"Ejido, El",CONSULTORIO LOCAL,ALMERIMAR,"PP CALETA, S/N",4711
201,ALMERÍA,"Ejido, El",CONSULTORIO LOCAL,SANTO DOMINGO,"AVDA. OASIS, Nº 99",4700
202,ALMERÍA,"Ejido, El",CONSULTORIO LOCAL,MATAGORDA-GUARDIAS VIEJAS,"CM DEL ALCOR, S/N",4715
203,ALMERÍA,"Ejido, El",CONSULTORIO LOCAL,SAN AGUSTÍN,"CL CICLÓN, S/N",4717
204,ALMERÍA,"Ejido, El",CONSULTORIO LOCAL,BALERMA,"C/ PRINCIPE FELIPE, S/N",4712
205,ALMERÍA,"Ejido, El",CONSULTORIO LOCAL,PAMPANICO,"C/ PAMPANICO, S/N",4715
206,ALMERÍA,Enix,CONSULTORIO LOCAL,ENIX (CONSULTORIO AUXILIAR),"PLAZA DE LA CONSTITUCIÓN, S/N",4729
